,Year,Election Type,AC No,AC Name,Rank,Party Name,Party ID,Alliance,Candidate Name,% votes polled,Total Valid Votes
0,2019,GE,68,Kinnaur,1,BJP,0,NDA,Ram Swaroop Sharma,54.754,22346
1,2019,GE,68,Kinnaur,2,INC,0,UPA,Aashray Sharma,37.484,15298
2,2019,GE,68,Kinnaur,3,IND,0,No Alliance,Guman Singh,3.901,1592
3,2019,GE,68,Kinnaur,4,CPIM,0,No Alliance,Daleep Singh Kaith,1.495,610
4,2019,GE,68,Kinnaur,5,BSP,0,No Alliance,Ses Ram,0.576,235
5,2019,GE,68,Kinnaur,6,IND,0,No Alliance,Subhash Mohan Snehi,0.485,198
6,2019,GE,68,Kinnaur,7,IND,0,No Alliance,Brij Gopal,0.360,147
7,2019,GE,68,Kinnaur,8,APoI,0,No Alliance,Rajender Suryavanshi,0.189,77
8,2019,GE,68,Kinnaur,9,IND,0,No Alliance,Dev Raj Bhardwaj,0.164,67
9,2019,GE,68,Kinnaur,10,IND,0,No Alliance,Dharmender Singh Thakur,0.142,58
10,2019,GE,68,Kinnaur,11,IND,0,No Alliance,Col. Thakur Singh,0.115,47
11,2019,GE,68,Kinnaur,12,SWAP,0,No Alliance,Kartar Chand,0.081,33
12,2019,GE,68,Kinnaur,13,BSCP,0,No Alliance,Shiv Lal Thakur,0.078,32
13,2019,GE,68,Kinnaur,14,PPID,0,No Alliance,Khem Chand,0.049,20
14,2019,GE,68,Kinnaur,15,RADM,0,No Alliance,Mehar Singh,0.047,19
15,2019,GE,68,Kinnaur,16,IND,0,No Alliance,Ghanshyam Chand Thakur,0.044,18
16,2019,GE,68,Kinnaur,17,AIFB,0,No Alliance,Chandermani,0.037,15
17,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0
